formula,band_gap
Mn2ZnSe4,0.0
Mn2ZnS4,0.0
Mn2V3Cr(PO4)6,0.0
MgV4O6,0.0
MgV2(CuO4)2,0.0
MgV2(AuS2)2,0.0
MgV(SbO3)4,0.0
MgU8Se17,0.0
MgU2O6,0.0
MgTlRh2,0.0
Mn2V3Co(PO4)6,0.0
MgV2(SiO3)4,0.0
MgV2Cu3O8,0.0
MgV4(O2F)4,0.0
MgV4(CuS4)2,0.0
MgV2CoO6,0.0
MgV3O8,0.0
MgV3CrS8,0.0
MgV2O4,0.0
MgV2NiO6,0.0
MgV2CuO6,0.0
MgV3CuO8,0.0
MgCd2(NiO2)4,0.0
Mg14NbZn,0.0
Mg14NbZnO16,0.0
Mg14NiBi,0.0
Mg14NiMo,0.0
Mg14NiSb,0.0
Mg14NiSnO16,0.0
Mg14SbMo,0.0
Mg14SbW,0.0
Mg14SiBi,0.0
Mg14SnSb,0.0
Mg14SnMo,0.0
Mg14SiSn,0.0
Mg14SiSb,0.0
Mg14SiNi,0.0
Mg14SiMo,0.0
Mg14NbCrO16,0.0
Mg14NbCr,0.0
Mg14NbCoO16,0.0
Mg14NbCdO16,0.0
Mg14NbCd,0.0
Mg14NbFeO16,0.0
Mg14NbSn,0.0
Mg14NbSi,0.0
Mg14NbSb,0.0
Mg14NbFe,0.0
Mg14NbNiO16,0.0
Mg14NbMo,0.0
Mg14NbGa,0.0
Mg14NbBi,0.0
Mg14SnW,0.0
Mg14TiAl,0.0
Mg14TiSb,0.0
Mg14TiSi,0.0
Mg14TiSiO16,0.0
Mg14TiSn,0.0
Mg14TiV,0.0
Mg14TiW,0.0
Mg14TiZn,0.0
Mg14VCuO16,0.0
Mg14VCu,0.0
Mg14VCr,0.0
Mg14TiNi,0.0
Mg14VBi,0.0
Mg14TiZnO16,0.0
Mg14TiCr,0.0
Mg14TiCoO16,0.0
Mg14TiCo,0.0
Mg14TiCd,0.0
Mg14TiBi,0.0
Mg14TiAlO16,0.0
Mg14TiCrO16,0.0
Mg14TiCu,0.0
Mg14TiMnO16,0.0
Mg14TiMn,0.0
Mg14TiGa,0.0
Mg14TiFeO16,0.0
Mg14TiCuO16,0.0
Mg14NbAlO16,0.0
Mg14CuMo,0.0
Mg14CuSb,0.0
Mg14CuSi,0.0
Mg14CuSiO16,0.0
Mg14CuSn,0.0
Mg14CuSnO16,0.0
Mg14FeCu,0.0
Mg14FeCoO16,0.0
Mg14CrSnO16,0.0
Mg14FeBiO16,0.0
Mg14CuW,0.0
Mg14CrCo,0.0
Mg14CoSi,0.0
Mg14CoSb,0.0
Mg14CrCoO16,0.0
Mg14CrCu,0.0
