formula,FE
Tb4BClO7,-3.717880974487179
SrEr2O4,-3.717361905238095
Ce3TaO7,-3.71644014771212
Ba3ScCO3F7,-3.7162327515
Dy5Si2BO13,-3.71618049547619
BaMnAlF7,-3.716083997293103
SrCa3Lu9O18,-3.715569894395159
Dy2Zr8O19,-3.715286728491378
LaSm3O6,-3.7148194513124975
Ba2Zr7O16,-3.7142832156
BaLa4Ti4O15,-3.7138015892013896
Nd4Al2O9,-3.713557746
Ce3NF6,-3.712590346999998
Sc11Nb3O24,-3.712202108815789
BaEr2O4,-3.712159115000001
Zr15VO32,-3.71201407375
La26B8O51,-3.710989067833335
Y6Zr22O53,-3.710826463796296
Ca2Zr5Ti2O16,-3.7105478926166655
CeZr2O6,-3.709904472222222
Y2Zr8O19,-3.709820332500001
YAlO3,-3.709656484999999
BaSrHfZrO6,-3.70937412
Tb2Zr8O19,-3.7093395414224153
Cs2Ca2Be3F12,-3.708383353647913
Er4Si3O11F2,-3.7074925885104095
Sr9U9O34,-3.7074089656730753
U3O8,-3.706551291363641
HfVF6,-3.705519998125
CeZr4O10,-3.705414722666666
Gd7Y5Nb4O28,-3.704548825454544
Dy2SiO5,-3.7044237403125
K2NdF5,-3.703926230624999
La5Si2BO13,-3.703569729603176
Ce14Gd18O55,-3.702500515086202
LiY3Si2(O4F)2,-3.702171548333333
Lu10Ti6O27,-3.7018975073062026
Sr5U5O19,-3.701888321120687
NaSrTiF6,-3.701524465523627
Ho2MgTiO6,-3.701247455333331
Ho3Al5O12,-3.700835045999999
Ba2GdPaO6,-3.7005295555
BaSrDy4O8,-3.70047684440476
Sm2TiO5,-3.6999064695833326
CaSc2O4,-3.699748415714285
KCaF3,-3.699283678250001
Dy2ScNbO7,-3.698460165075756
BaMgVF7,-3.6976628365
Sr5Cr3F19,-3.697171728240741
Rb2Ca2Be3F12,-3.697151604210527
Dy3NbO7,-3.6971089261363614
Ho2ScNbO7,-3.696961487045453
Dy2MgTiO6,-3.696881200666665
Ba2LuUO6,-3.696703101166669
Sm4U4O17,-3.696044112699998
U2O5,-3.6959455148214255
CsTi8F33,-3.69586875794814
La7YAl8O24,-3.695493413875
SmAlO3,-3.695213139999969
Li2ZrF6,-3.695181704259259
SrHo2O4,-3.6941434125
Ba2CaTi2CuF14,-3.6936679515833335
Ba5Cr3F18,-3.693345300048077
Gd2SeOF2,-3.692987104418403
BaHo2O4,-3.692165124285715
Tb2MgTiO6,-3.6919449281666656
